,Security Code,Security Id,Security Name,dayHigh,dayLow,52weekHigh,52weekLow
2813,533006,BIRLACOT,BIRLA COTSYN (INDIA) LTD.,0.08,0.08,0.08,0.08
678,509003,TRANOCE,TRANSOCEANIC PROPERTIES LTD.,0.12,0.12,0.12,0.12
2345,532072,INTERDIGI,INTERWORLD DIGITAL LTD.-$,0.15,0.15,0.15,0.15
743,511064,APLAYA,Aplaya Creations Ltd,0.15,0.15,0.88,0.15
469,505523,MAHACORP,MAHARASHTRA CORPORATION LTD.,0.17,0.17,0.36,0.15
3015,534741,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,0.17,0.17,0.39,0.15
870,512105,PROAIMENT,Proaim Enterprises Ltd,0.19,0.19,0.93,0.19
793,511525,PANINDIAC,PAN INDIA CORPORATION LTD.,0.19,0.19,0.22,0.19
1697,526622,MFLINDIA,MFL INDIA LTD.,0.19,0.19,0.20,0.19
2347,532081,KSERASERA,KSS Limited-$,0.19,0.19,0.19,0.19
2249,531752,SUNTECHNO,SUN TECHNO OVERSEAS LTD.,0.19,0.19,0.32,0.19
1144,517224,SUJANAUNI,SUJANA UNIVERSAL INDUSTRIES LTD.-$,0.19,0.19,0.30,0.19
3203,538860,PANAFIC,Panafic Industrials Ltd,0.19,0.19,0.64,0.19
2175,531515,MAHANIN,MAHAN INDUSTRIES LTD.,0.19,0.19,0.20,0.19
3148,538575,SOLISMAR,Solis Marketing Ltd,0.19,0.19,0.22,0.19
740,511012,YAMNINV,YAMINI INVESTMENTS COMPANY LTD.,0.19,0.19,0.32,0.19
3400,539525,NAVKETAN,Navketan Merchants Ltd,0.19,0.19,0.58,0.19
687,509051,INDINFO,INDIAN INFOTECH & SOFTWARE LTD.,0.19,0.19,0.19,0.19
1039,514118,ESKAY,ESKAY K&#39;N&#39;IT (INDIA) LTD.,0.19,0.19,0.24,0.19
1052,514221,KLIFESTYL,K-Lifestyle & Industries Limited,0.19,0.19,0.21,0.19
1898,530557,NCLRESE,NCL RESEARCH & FINANCIAL SERVICES LTD.,0.19,0.19,0.45,0.19
3331,539278,SYMBIOX,Symbiox Investment & Trading Company Ltd,0.19,0.19,0.97,0.19
2294,531904,GLOBUSCOR,GLOBUS CORPORATION LTD.-$,0.19,0.19,0.21,0.17
751,511116,QUADRANT,Quadrant Televentures Limited-$,0.19,0.19,0.52,0.19
3053,535730,KHOOBSURAT,Khoobsurat Ltd,0.19,0.19,0.20,0.19
1925,530699,RAJRAYON,Raj Rayon Industries Limited-$,0.19,0.19,0.19,0.19
459,505343,MONOT,MONOTYPE INDIA LTD.,0.19,0.19,0.29,0.19
3134,538540,RLFL,Ramchandra Leasing & Finance Ltd,0.19,0.19,0.23,0.19
139,500254,UTTAMVALUE,UTTAM VALUE STEELS LTD.,0.19,0.19,0.19,0.19
3124,538433,CCFCL,Classic Global Finance & Capital Ltd,0.19,0.19,0.29,0.16
406,504351,EMPOWER,EMPOWER INDIA LTD.,0.19,0.19,0.19,0.19
904,512379,CRESSAN,CRESSANDA SOLUTIONS LTD.,0.19,0.19,0.76,0.19
2448,532359,HITKITGLO,HIT KIT GLOBAL SOLUTIONS LTD.,0.19,0.19,0.25,0.19
3121,538422,JACKSON,Jackson Investments Ltd,0.19,0.19,0.29,0.19
984,513414,SMPL,Splendid Metal Products Ltd,0.19,0.19,0.56,0.19
873,512149,AVANCE,AVANCE TECHNOLOGIES LTD.,0.19,0.19,0.19,0.19
2139,531411,TUNITEX,TUNI TEXTILE MILLS LTD.,0.19,0.19,0.29,0.19
1968,530889,ALKA,ALKA INDIA LTD.,0.19,0.19,0.20,0.19
2038,531175,BLSINFOTE,BLS INFOTECH LTD.,0.19,0.19,0.22,0.19
3061,536128,VKJINFRA,VKJ Infradevelopers Ltd,0.19,0.19,0.56,0.19
2481,532411,VISESHINFO,VISESH INFOTECNICS LTD.,0.19,0.19,0.19,0.19
1417,523387,TRITON,TRITON CORP.LTD.,0.20,0.19,0.21,0.19
1603,526009,PROCAL,PROCAL ELECTRONICS INDIA LTD.,0.20,0.20,0.86,0.20
2892,533239,PRAKASHSTL,PRAKASH STEELAGE LTD.,0.20,0.20,0.34,0.19
2256,531775,CISTRO,CISTRO TELELINK LTD.,0.20,0.20,0.23,0.20
2588,532666,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,0.21,0.20,0.35,0.19
1392,523209,NICCOUCO,NICCO UCO ALLIANCE CREDIT LTD.,0.21,0.21,0.22,0.19
3075,536751,FIVEXTRADE,Five X Tradecom Ltd,0.21,0.21,0.57,0.18
2433,532336,BARONINF,BARON INFOTECH LTD.,0.21,0.21,0.21,0.19
3493,539962,QFSL,Quest Financial Services Ltd,0.21,0.19,0.28,0.19
2806,532990,METKORE,METKORE ALLOYS & INDUSTRIES LTD.,0.22,0.22,1.37,0.21
3127,538464,TPROJECT,Thirani Projects Ltd,0.22,0.22,1.57,0.22
1485,523874,PRECISION,PRECISION CONTAINEURS LTD.,0.22,0.22,0.23,0.19
1314,521228,TATIAGLOB,TATIA GLOBAL VENNTURE LTD.,0.23,0.23,0.29,0.19
2928,533310,MIDVAL,MIDVALLEY ENTERTAINMENT LTD.,0.23,0.21,3.70,0.21
977,513361,ISWL,INDIA STEEL WORKS LTD.,0.23,0.22,1.35,0.19
3164,538653,EML,Ejecta Marketing Ltd,0.23,0.23,5.02,0.21
998,513502,BAROEXT,BARODA EXTRUSION LTD.,0.24,0.24,0.40,0.19
3133,538539,JTAPARIA,J. Taparia Projects Ltd,0.24,0.24,0.60,0.19
2234,531687,KGL,KARUTURI GLOBAL LTD.,0.25,0.24,1.80,0.19
1402,523277,GVFILM,GV FILMS LTD.,0.25,0.23,0.61,0.23
3011,534731,BITL,BRONZE INFRA-TECH LTD.,0.25,0.25,0.50,0.19
3112,538212,SHARPINV,Sharp Investments Ltd,0.25,0.25,0.26,0.25
3101,537800,MANGIND,Mangalam Industrial Finance Ltd,0.25,0.21,0.54,0.21
658,508860,DIAMANT,Diamant Infrastructure Limited,0.26,0.26,0.76,0.19
812,511618,JIKIND,JIK INDUSTRIES LTD.,0.26,0.26,0.39,0.25
976,513359,PARINFRA,Parab Infra Ltd,0.26,0.26,4.23,0.26
2376,532166,ALKASEC,ALKA SECURITIES LTD.,0.26,0.26,0.26,0.19
3111,538180,GOLDLINE,Gold Line International Finvest Ltd,0.26,0.26,7.35,0.26
2872,533189,GOENKA,GOENKA DIAMOND & JEWELS LTD.,0.27,0.27,0.42,0.23
1745,526859,ISFL,ISF LIMITED,0.27,0.27,0.38,0.27
1909,530611,STURDY,STURDY INDUSTRIES LTD.,0.27,0.27,0.32,0.27
3051,535694,EDSL,EDYNAMICS SOLUTIONS LTD.,0.27,0.27,0.45,0.19
511,506027,BHRKALM,BHORUKA ALUMINIUM LTD.,0.28,0.27,0.91,0.26
1207,519174,ASHAI,ASHIANA AGRO INDUSTRIES LTD.,0.28,0.28,1.60,0.28
2698,532825,JAGJANANI,JAGJANANI TEXTILES LTD.,0.29,0.29,0.48,0.27
839,511736,USHDI,USHDEV INTERNATIONAL LTD.,0.29,0.29,0.62,0.19
3920,590057,PROSEED,Proseed India Ltd,0.29,0.29,0.52,0.25
2349,532090,VANDANA,VANDANA KNITWEAR LTD.,0.29,0.28,0.35,0.19
2143,531417,MEGACOR,MEGA CORPORATION LTD.,0.30,0.30,0.39,0.23
2319,531991,AMRAAGRI,AMRAWORLD AGRICO LTD.,0.30,0.30,0.30,0.27
1159,517356,ACIIN,ACI INFOCOM LTD.,0.30,0.30,0.59,0.19
175,500329,PENTAGRAPH,PENTAMEDIA GRAPHICS LTD.,0.31,0.27,0.52,0.21
523,506146,VIVIDHA,VISAGAR POLYTEX LTD.,0.31,0.31,0.72,0.18
2034,531164,LADIAMO,LASER DIAMONDS LTD.,0.32,0.32,0.71,0.32
1287,521082,SPENTEX,SPENTEX INDUSTRIES LTD.,0.33,0.33,2.02,0.29
2978,534060,PMCFIN,PMC Fincorp Limited,0.33,0.31,0.50,0.16
2790,532959,GAMMNINFRA,GAMMON INFRASTRUCTURE PROJECTS LTD.,0.33,0.32,0.75,0.26
2924,533301,SPYL,SHEKHAWATI POLY-YARN LTD.,0.34,0.33,0.37,0.21
1281,521036,SOURCEIND,SOURCE INDUSTRIES (INDIA) LTD.,0.34,0.34,0.87,0.32
2644,532746,UNITY,UNITY INFRAPROJECTS LTD.,0.35,0.35,1.36,0.34
2157,531456,MINAXI,MINAXI TEXTILES LTD.,0.35,0.35,0.94,0.31
2408,532282,CASTEXTECH,Castex Technologies Ltd-$,0.35,0.35,1.19,0.33
1464,523722,SVAMSOF,SVAM SOFTWARE LTD.,0.35,0.35,0.60,0.25
2553,532614,IMPEXFERRO,IMPEX FERRO TECH LTD.,0.35,0.35,0.58,0.34
2233,531686,ADVIKLA,ADVIK LABORATORIES LTD.,0.35,0.35,2.00,0.32
124,500236,KANELIND,Kanel Industries Limited,0.35,0.35,4.23,0.35
2572,532645,BEEYU,BEEYU OVERSEAS LTD.,0.35,0.35,0.38,0.27
3764,541546,GAYAHWS,Gayatri Highways Ltd,0.36,0.36,1.00,0.24
2241,531723,STAMPEDE,Stampede Capital Limited,0.36,0.36,2.59,0.36
412,504380,ZVINADTR,VINADITYA TRADING CO.LTD.,0.36,0.36,0.36,0.35
3684,540789,DNAMEDIA,Diligent Media Corporation Ltd,0.37,0.36,3.42,0.30
626,507833,COMPUPN,COMPUTER POINT LTD.,0.37,0.36,1.19,0.29
3841,542641,CKFSL,Cox & Kings Financial Service Ltd,0.37,0.35,76.00,0.35
1571,524661,WELCURE,WELCURE DRUGS & PHARMACEUTICALS LTD.,0.38,0.38,0.65,0.38
2664,532775,GTLINFRA,GTL INFRASTRUCTURE LTD.,0.38,0.37,1.20,0.36
3290,539169,FUNNY,Funny Software Ltd,0.38,0.38,0.89,0.38
3784,541890,SPACEINCUBA,Space Incubatrics Technologies Ltd,0.38,0.38,0.97,0.21
2718,532854,NITINFIRE,NITIN FIRE PROTECTION INDUSTRIES LTD.,0.39,0.39,1.87,0.31
2727,532870,ANKITMETAL,ANKIT METAL & POWER LTD.,0.39,0.38,0.64,0.37
3241,539009,GBLIL,GBL Industries Ltd,0.39,0.37,36.35,0.37
2601,532690,RAMSARUP,RAMSARUP INDUSTRIES LTD.,0.39,0.39,0.73,0.37
3102,537820,VFL,Viji Finance Ltd,0.39,0.36,1.08,0.35
2739,532887,NTL,Neueon Towers Ltd,0.39,0.39,1.47,0.38
2236,531692,KHYATI,KHYATI MULTIMEDIA-ENTERTAINMENT LTD.,0.40,0.40,0.59,0.40
487,505711,GAJRA,GAJRA BEVEL GEARS LTD.-$,0.40,0.40,0.76,0.34
2632,532731,ROHITFERRO,ROHIT FERRO-TECH LTD.,0.42,0.42,1.66,0.38
2302,531925,SHAQUAK,SHANTANU SHEOREY AQUAKULT LTD.,0.42,0.42,1.70,0.19
3122,538423,ALPSMOTOR,Alps Motor Finance Ltd,0.42,0.40,1.39,0.19
2765,532925,KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,0.43,0.39,1.07,0.38
859,512048,LUHARUKA,Luharuka Media & Infra Ltd,0.44,0.44,0.89,0.40
2810,532997,KSK,KSK ENERGY VENTURES LTD.,0.45,0.41,1.45,0.40
3152,538597,TTIENT,TTI Enterprise Ltd,0.45,0.45,1.70,0.44
1996,531025,VISAGAR,VISAGAR FINANCIAL SERVICES LTD.,0.46,0.46,0.60,0.26
2405,532275,LANDMARC,LANDMARC LEISURE CORPORATION LTD.,0.48,0.48,0.72,0.33
