,Security Code,Security Id,Security Name,dayHigh,dayLow,52weekHigh,52weekLow
291,532532,JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD.,1.77,1.47,7.15,1.47
350,532939,RPOWER,RELIANCE POWER LTD.,1.77,1.68,13.25,1.46
305,532667,SUZLON,SUZLON ENERGY LTD.,2.33,2.22,8.40,1.80
329,532822,IDEA,Vodafone Idea Ltd,3.28,2.83,21.32,2.61
194,521064,TRIDENT,TRIDENT LTD.,5.70,5.55,8.45,5.22
24,500106,IFCI,IFCI LTD.,6.05,5.78,14.58,5.62
48,500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,6.60,6.32,64.65,6.32
27,500111,RELCAPITAL,RELIANCE CAPITAL LTD.,7.14,6.75,214.30,6.71
209,523756,SREINFRA,SREI INFRASTRUCTURE FINANCE LTD.,8.33,8.05,33.80,7.17
252,532218,SOUTHBANK,SOUTH INDIAN BANK LTD.,9.87,9.62,18.55,8.50
266,532388,IOB,INDIAN OVERSEAS BANK,10.00,9.03,15.80,8.75
165,511072,DHFL,DEWAN HOUSING FINANCE CORPORATION LTD.,10.34,9.87,176.40,9.41
333,532839,DISHTV,DISH TV INDIA LTD.,11.32,10.74,42.35,10.35
284,532505,UCOBANK,UCO BANK,13.90,13.50,22.20,11.00
276,532480,ALBK,ALLAHABAD BANK,14.60,13.75,58.80,13.75
268,532418,ANDHRABANK,ANDHRA BANK,15.25,14.50,33.30,14.50
341,532885,CENTRALBK,CENTRAL BANK OF INDIA,16.75,16.30,36.95,15.55
44,500183,HFCL,HFCL Ltd,17.15,16.70,25.30,16.20
386,534690,LAKSHVILAS,LAKSHMI VILAS BANK LTD.,17.40,17.15,97.35,13.35
388,534809,PCJEWELLER,PC JEWELLER LTD.,17.80,17.00,167.60,16.80
178,513377,MMTC,MMTC LTD.,19.50,18.80,29.90,14.00
249,532209,J&KBANK,JAMMU & KASHMIR BANK LTD.,19.65,17.50,65.95,17.05
130,501150,CENTRUM,CENTRUM CAPITAL LTD.,20.10,18.70,36.25,17.90
246,532179,CORPBANK,CORPORATION BANK,21.20,20.30,32.15,13.60
378,533400,FCONSUMER,Future Consumer Ltd,21.50,21.10,51.70,20.95
360,533098,NHPC,NHPC LTD.,22.15,21.10,29.00,20.85
80,500390,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,22.25,20.90,146.25,18.00
255,532276,SYNDIBANK,SYNDICATE BANK,22.35,21.20,46.60,21.20
366,533162,HATHWAY,Hathway Cable & Datacom Ltd,23.10,21.75,38.60,17.55
316,532754,GMRINFRA,GMR INFRASTRUCTURE LTD.,23.10,22.00,25.00,14.05
368,533206,SJVN,SJVN Ltd,25.65,24.75,27.75,22.25
323,532800,TV18BRDCST,TV18 BROADCAST LTD.,30.10,27.35,39.30,18.05
385,534309,NBCC,NBCC (India) Ltd,30.55,28.50,68.35,28.50
436,540530,HUDCO,Housing and Urban Development Corporation Ltd,33.90,32.55,47.70,28.70
304,532659,IDFC,IDFC LIMITED,34.25,33.45,48.05,30.80
31,500116,IDBI,IDBI BANK LTD.,34.70,33.25,48.10,23.55
22,500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,34.90,33.40,78.75,33.40
180,513599,HINDCOPPER,HINDUSTAN COPPER LTD.,35.80,34.65,52.70,27.90
302,532648,YESBANK,YES BANK LTD.,37.55,33.70,285.90,29.05
399,539083,INOXWIND,Inox Wind Ltd,38.00,37.00,80.75,30.80
21,500101,ARVIND,ARVIND LTD.,38.75,38.05,96.50,33.30
404,539437,IDFCFIRSTB,IDFC First Bank Ltd,38.80,37.80,56.90,36.15
254,532234,NATIONALUM,NATIONAL ALUMINIUM CO.LTD.,39.20,38.20,59.50,36.90
25,500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,41.35,39.65,76.10,39.65
193,520051,JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,41.90,39.05,65.35,30.40
29,500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,42.65,40.75,60.10,29.50
64,500294,NCC,NCC Limited,42.70,37.70,119.15,37.70
69,500315,ORIENTBANK,ORIENTAL BANK OF COMMERCE,43.50,40.35,119.00,40.35
213,524230,RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,43.75,41.05,67.25,36.25
325,532809,FSL,FIRSTSOURCE SOLUTIONS LTD.,45.50,42.85,57.85,36.55
183,514162,WELSPUNIND,WELSPUN INDIA LTD.,45.70,43.45,66.05,41.00
169,511431,VAKRANGEE,Vakrangee Limited-$,46.50,44.20,70.95,22.75
274,532477,UNIONBANK,UNION BANK OF INDIA,46.80,40.20,100.30,40.20
210,524000,MAGMA,MAGMA FINCORP LTD.,50.75,49.85,138.20,37.00
289,532524,PTC,PTC INDIA LTD.,51.35,50.10,84.55,50.10
45,500184,HSCL,Himadri Speciality Chemical Ltd,52.05,49.80,126.50,49.80
